outcome,case_type_encoded,year,court,jurisdiction,tags,text
copyright infringement found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, painting, photograph, research, scholarship, unpublished",
copyright infringement found,0,2013,United States District Court for the District of Nevada,9th Circuit,"film, internet",
copyright infringement found,0,2014,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, drawing, education, music, news reporting, research, scholarship, textual",
copyright infringement not found,0,1987,United States District Court for the Northern District of California,9th Circuit,"drawing, film, music, unpublished",
pending,0,2010,United States Court of Appeals for the Ninth Circuit,9th Circuit,"internet, photograph",
copyright infringement found,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"photograph, unpublished",
pending,0,1973,United States Court of Claims,Federal Circuit,"computer program, drawing, education, film, graphic, painting, photograph, research",
copyright infringement not found,0,2014,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"education, internet, music, research, scholarship, textual",
copyright infringement found,0,1990,United States District Court for the Eastern District of Pennsylvania,3rd Circuit,computer program,
copyright infringement found,0,2017,United States District Court for the Eastern District of Texas,5th Circuit,"commentary, education, film, music, parody, photograph, research, unpublished",
copyright infringement found,0,2015,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, education, internet, music, news reporting, research, scholarship, textual, unpublished",
copyright infringement not found,0,2011,United States District Court for the Southern District of New York,2nd Circuit,"commentary, drawing, education, film, graphic, music, news reporting, painting, parody, photograph, research, scholarship, sculpture",
copyright infringement found,0,1997,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, graphic, textual",
copyright infringement not found,0,2019,United States Court of Appeals for the Ninth,9th Circuit,"audiovisual, film, graphic, internet, music, photograph",
copyright infringement found,0,1996,United States Court of Appeals for the Sixth Circuit,6th Circuit,"education, graphic, music, news reporting, parody, research, scholarship, unpublished",
copyright infringement found,0,1987,United States District Court for the Southern District of New York,2nd Circuit,"drawing, parody, research",
copyright infringement not found,0,1977,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, film, graphic, news reporting, research",
copyright infringement found,0,2018,United States District Court for the Southern District of California,9th Circuit,,
copyright infringement not found,0,2018,United States District Court for the Eastern District of Virginia,4th Circuit,"commentary, education, film, internet, music, news reporting, photograph, research, unpublished",
copyright infringement not found,0,1958,Washington Supreme Court,9th Circuit,drawing,
copyright infringement not found,0,2012,United States District Court for the Northern District of Georgia,11th Circuit,"education, film, music, research",
pending,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, education, graphic, internet, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement found,0,2013,United States Court of Appeals for the Tenth Circuit,10th Circuit,"education, internet, music, news reporting, research, scholarship, unpublished",
pending,0,1994,United States District Court for the District of Minnesota,8th Circuit,"drawing, education, graphic, news reporting, research, scholarship, unpublished",
copyright infringement found,0,1982,United States District Court for the Southern District of New York,2nd Circuit,music,
copyright infringement found,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"photograph, unpublished",
pending,0,1994,Supreme Court of the United States,U.S. Supreme Court,"commentary, education, music, news reporting, parody, research, satire, scholarship, unpublished",
copyright infringement found,0,2000,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, music, textual",
copyright infringement found,0,1992,United States Court of Appeals for the Federal Circuit,Federal Circuit,"audiovisual, computer program, film, music, news reporting, research, scholarship",
copyright infringement not found,0,2007,United States District Court for the Central District of California,9th Circuit,graphic,
copyright infringement not found,0,1941,United States District Court for the Eastern District of Wisconsin,7th Circuit,"music, photograph",
fair use not found,0,1990,United States District Court for the Northern District of New York,2nd Circuit,"education, music, news reporting, research, scholarship, unpublished",
copyright infringement found,0,2009,United States District Court for the Central District of California,9th Circuit,"film, graphic, photograph",
copyright infringement not found,0,1986,United States District Court for the Southern District of New York,2nd Circuit,"education, graphic, scholarship, unpublished",
pending,0,1992,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, news reporting, research, scholarship, unpublished",
copyright infringement found,0,2013,United States District Court for the Southern District of New York,2nd Circuit,"commentary, computer program, internet, news reporting, parody, research",
copyright infringement found,0,1982,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, music, news reporting, research, scholarship",
copyright infringement found,0,2004,United States District Court for the Northern District of California,9th Circuit,"commentary, film, internet",
copyright infringement not found,0,1991,United States Court of Appeals for the Tenth Circuit,10th Circuit,,
pending,0,1987,United States District Court for the Western District of Missouri,8th Circuit,"education, graphic, news reporting, research, scholarship",
copyright infringement not found,0,2009,United States District Court for the Southern District of New York,2nd Circuit,"computer program, education, film, graphic, internet, music, news reporting, photograph, research, scholarship",
fair use found,0,2017,United States District Court for the District of Columbia,District of Columbia Circuit,"commentary, education, film, graphic, internet, music, news reporting, research, scholarship, unpublished",
copyright infringement found,0,2016,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, internet, music, news reporting, research, scholarship, textual, unpublished",
copyright infringement found,0,1997,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, internet, music, news reporting, research, scholarship",
pending,0,2004,United States District Court for the Northern District of Illinois,7th Circuit,"commentary, education, film, graphic, music, news reporting, painting, parody, photograph, research, scholarship, sculpture",
copyright infringement found,0,2008,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"computer program, drawing, film",
copyright infringement found,0,2016,United States District Court for the District of Minnesota,8th Circuit,"internet, photograph",
copyright infringement not found,0,2015,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, news reporting, photograph, unpublished",
copyright infringement not found,0,2001,United States Court of Appeals for the Second Circuit,2nd Circuit,"computer program, film, internet, research",
copyright infringement not found,0,1996,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, music",
copyright infringement not found,0,2003,United States Court of Appeals for the Seventh Circuit,7th Circuit,"education, music, parody, photograph, research, sculpture, unpublished",
copyright infringement not found,0,2017,United States District Court for the District of Nevada,9th Circuit,"film, internet, music, research, unpublished",
copyright infringement not found,0,1988,United States District Court for the Southern District of New York,2nd Circuit,"education, film, music, news reporting, parody, research, satire, scholarship",
pending,0,2010,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, film, internet, music, parody, research",
fair use not found,0,2004,United States Court of Appeals for the Sixth Circuit,6th Circuit,"audiovisual, computer program, education, film, graphic, music",
copyright infringement not found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, drawing, education, music, news reporting, parody, research, scholarship",
pending,0,1960,United States Court of Customs and Patent Appeals,Federal Circuit,graphic,
copyright infringement found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,"education, film, graphic, music, news reporting, parody, photograph, research, scholarship, textual, unpublished",
fair use found,0,1991,United States Court of Appeals for the Third Circuit,3rd Circuit,research,
pending,0,2004,United States Court of Appeals for the Eighth Circuit,8th Circuit,"education, music",
copyright infringement not found,0,2014,United States District Court for the Southern District of New York,2nd Circuit,"commentary, computer program, education, graphic, internet, music, news reporting, photograph, research, scholarship",
copyright infringement not found,0,2012,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"drawing, film, graphic, painting, parody, photograph",
copyright infringement found,0,2001,United States Court of Appeals for the Third Circuit,3rd Circuit,"drawing, graphic, internet",
copyright infringement found,0,1998,United States District Court for the Southern District of New York,2nd Circuit,"drawing, film, research, unpublished",
copyright infringement found,0,2012,United States Court of Appeals for the First Circuit,1st Circuit,"education, internet, painting",
fair use not found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,,
copyright infringement found,0,2015,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, music, news reporting, parody, research, scholarship",
copyright infringement not found,0,1986,United States Court of Appeals for the Seventh Circuit,7th Circuit,,
copyright infringement found,0,1998,United States District Court for the District of Delaware,3rd Circuit,"education, music, news reporting, research, scholarship",
copyright infringement not found,0,2009,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, internet",
copyright infringement found,0,2013,United States Court of Appeals for the Third Circuit,3rd Circuit,"film, graphic, music",
copyright infringement found,0,1982,United States District Court for the Southern District of Texas,5th Circuit,"graphic, research",
copyright infringement not found,0,2006,United States District Court for the Central District of California,9th Circuit,"internet, photograph, textual",
fair use not found,0,1996,United States Court of Appeals for the Sixth Circuit,6th Circuit,"education, graphic, music, news reporting, parody, research, scholarship, unpublished",
copyright infringement not found,0,2004,United States Court of Appeals for the Fifth Circuit,5th Circuit,"education, film, music, photograph",
copyright infringement not found,0,2013,United States District Court for the Central District of California,9th Circuit,"commentary, education, film, internet, music, news reporting, painting, parody, photograph, research, scholarship",
fair use not found,0,1994,United States Court of Appeals for the Eighth Circuit,8th Circuit,"commentary, film, graphic, music, parody, research",
pending,0,1998,United States Court of Appeals for the Fourth Circuit,4th Circuit,graphic,
copyright infringement not found,0,2018,Court of Appeals of the District of Columbia,District of Columbia Circuit,"drawing, education, internet, news reporting, research, scholarship",
copyright infringement found,0,1996,United States Court of Appeals for the Ninth Circuit,9th Circuit,"drawing, film, graphic, photograph",
copyright infringement found,0,2007,United States Court of Appeals for the Ninth Circuit,9th Circuit,"computer program, film, graphic, internet, music, photograph, research",
copyright infringement found,0,1993,United States District Court for the District of Massachusetts,1st Circuit,computer program,
fair use not found,0,1985,United States District Court for the Central District of California,9th Circuit,"commentary, education, film, graphic, music, news reporting, parody, photograph, research, satire, scholarship",
copyright infringement found,0,2003,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, news reporting, parody, research, satire, scholarship",
copyright infringement found,0,1997,United States Court of Appeals for the Ninth Circuit,9th Circuit,"commentary, drawing, education, graphic, music, news reporting, parody, research, satire, scholarship",
copyright infringement not found,0,2019,United States District Court for the Eastern District of Illinois,7th Circuit,"audiovisual, commentary, education, film, graphic, music, news reporting, research, scholarship, textual",
copyright infringement not found,0,1990,United States District Court for the Southern District of New York,2nd Circuit,"graphic, news reporting, research, scholarship, unpublished",
copyright infringement found,0,1996,United States District Court for the District of Minnesota,8th Circuit,"education, graphic, news reporting, research, scholarship, unpublished",
copyright infringement not found,0,2007,United States District Court for the Middle District of Florida,11th Circuit,"education, news reporting, research, scholarship",
pending,0,1986,United States Court of Appeals for the Second Circuit,2nd Circuit,"film, graphic, music, parody, photograph",
copyright infringement found,0,2015,United States District Court for the Southern District of Florida,11th Circuit,internet,
copyright infringement not found,0,1990,United States District Court for the District of Colorado,10th Circuit,"graphic, research",
copyright infringement found,0,2014,United States District Court for the Eastern District of Michigan,6th Circuit,"education, music, news reporting, photograph, research",
copyright infringement not found,0,1984,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"commentary, education, graphic, music, news reporting, research, scholarship",
copyright infringement found,0,2004,United States District Court for the District of Kansas,10th Circuit,education,
pending,0,2010,United States District Court for the District of Nevada,9th Circuit,"graphic, internet, photograph, scholarship",
copyright infringement found,0,2005,United States District Court for the Eastern District of Michigan,6th Circuit,"graphic, internet, unpublished",
copyright infringement found,0,1989,United States District Court for the Southern District of New York,2nd Circuit,graphic,
copyright infringement found,0,2017,United States District Court for the Eastern District of Louisiana,5th Circuit,"audiovisual, commentary, education, film, music, photograph, scholarship, unpublished",
copyright infringement found,0,1996,United States Court of Appeals for the Tenth Circuit,10th Circuit,"commentary, drawing, parody, photograph",
copyright infringement found,0,1996,United States Court of Appeals for the Sixth Circuit,6th Circuit,"education, graphic, music, news reporting, parody, research, scholarship, unpublished",
copyright infringement found,0,1997,United States Court of Appeals for the Second Circuit,2nd Circuit,"drawing, film, music, news reporting, painting, photograph, research, scholarship",
copyright infringement found,0,2001,United States District Court for the Eastern District of Virginia,4th Circuit,"film, internet, music, news reporting, parody",
copyright infringement not found,0,1986,United States District Court for the Southern District of New York,2nd Circuit,"drawing, education, graphic, news reporting, research, scholarship, unpublished",
copyright infringement found,0,1991,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"commentary, education, news reporting, unpublished",
copyright infringement found,0,2014,United States District Court for the Northern District of Illinois,7th Circuit,"education, film, music, unpublished",
copyright infringement found,0,2014,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, drawing, education, music, news reporting, research, scholarship, textual",
copyright infringement not found,0,2005,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, music, news reporting, painting, parody, photograph, research, scholarship, unpublished",
pending,0,1995,United States District Court for the District of South Carolina,4th Circuit,commentary,
copyright infringement not found,0,2015,United States District Court for the Middle District of Florida,11th Circuit,"drawing, internet",
copyright infringement found,0,1995,United States District Court for the District of Minnesota,8th Circuit,"commentary, education, music, news reporting, parody, research, scholarship",
pending,0,1993,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, film, music, news reporting, parody, research, scholarship",
fair use not found,0,2000,United States Court of Appeals for the Ninth Circuit,9th Circuit,music,
copyright infringement found,0,1998,United States District Court for the Southern District of New York,2nd Circuit,"education, film, music, news reporting, photograph, research, scholarship",
pending,0,1994,United States Court of Appeals for the Second Circuit,2nd Circuit,"computer program, education, graphic, music, research",
copyright infringement found,0,1995,United States Court of Appeals for the First Circuit,1st Circuit,computer program,
copyright infringement found,0,2018,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, internet, music, news reporting, parody, research, satire, scholarship, unpublished",
fair use not found,0,2002,United States Court of Appeals for the Ninth Circuit,9th Circuit,"photograph, unpublished",
copyright infringement not found,0,1991,United States Court of Appeals for the Second Circuit,2nd Circuit,"research, scholarship, unpublished",
pending,0,2019,United States Court of Appeals for the Fourth Circuit,4th Circuit,"internet, music",
copyright infringement found,0,1995,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, photograph",
pending,0,2014,United States Court of Appeals for the Ninth Circuit,9th Circuit,"film, graphic, music, scholarship",
copyright infringement not found,0,1992,United States District Court for the District of South Carolina,4th Circuit,,
pending,0,1993,United States District Court for the Middle District of Florida,11th Circuit,"education, film, graphic, music, news reporting, photograph, research, scholarship",
copyright infringement found,0,2010,United States District Court for the Western District of Missouri,8th Circuit,"graphic, internet, music, news reporting, painting, photograph, research, scholarship",
copyright infringement found,0,2015,United States Bankruptcy Court for the Eastern District of Missouri,8th Circuit,"education, graphic, internet, music, news reporting, photograph, research, scholarship, unpublished",
pending,0,1999,United States Court of Appeals for the Second Circuit,2nd Circuit,"education, music, news reporting, research",
fair use not found,0,1986,United States Court of Appeals for the Third Circuit,3rd Circuit,"education, music, news reporting, research, scholarship",
copyright infringement found,0,2011,United States District Court for the District of New Jersey,3rd Circuit,"drawing, film, graphic, internet, music, painting, photograph",
fair use found,0,2002,United States District Court for the Southern District of Georgia,11th Circuit,graphic,
pending,0,1995,United States District Court for the Eastern District of Virginia,4th Circuit,"education, internet, music, news reporting, research, unpublished",
copyright infringement not found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"drawing, internet, parody, textual",
pending,0,2010,United States District Court for the Southern District of New York,2nd Circuit,"internet, music",
pending,0,2018,United States Court of Appeals for the Federal Circuit,Federal Circuit,"computer program, education, film, graphic, internet, music, news reporting, photograph, research, scholarship",
pending,0,1976,United States District Court for the Southern District of New York,2nd Circuit,"music, parody, satire, unpublished",
copyright infringement found,0,1991,United States District Court for the Middle District of Tennessee,6th Circuit,"commentary, education, music, news reporting, parody, research, satire, scholarship",
copyright infringement found,0,2010,United States District Court for the District of New Hampshire,1st Circuit,internet,
copyright infringement not found,0,2017,United States District Court for the Southern District of California,9th Circuit,"education, film, music, news reporting, parody, research, scholarship",
fair use not found,0,1986,United States District Court for the Northern District of Illinois,7th Circuit,"film, graphic",
copyright infringement not found,0,1980,United States Court of Appeals for the Fifth Circuit,5th Circuit,"audiovisual, drawing, education, graphic, music, photograph, research",
copyright infringement not found,0,1992,United States District Court for the District of South Carolina,4th Circuit,,
copyright infringement not found,0,1997,United States District Court for the Eastern District of Michigan,6th Circuit,"graphic, internet, music, research, textual",
copyright infringement not found,0,1968,United States District Court for the Southern District of New York,2nd Circuit,"film, graphic, photograph, research, unpublished",
fair use not found,0,1938,United States District Court for the Southern District of New York,2nd Circuit,"drawing, film, music, photograph",
copyright infringement found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, graphic, music, news reporting, photograph, research, scholarship",
copyright infringement found,0,2001,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"audiovisual, commentary, computer program, education, film, graphic, internet, music, photograph",
copyright infringement not found,0,1998,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, drawing, film, music, painting, parody, photograph",
copyright infringement found,0,2017,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, music, news reporting, parody, photograph, research, scholarship, textual",
copyright infringement not found,0,2011,United States District Court for the Southern District of New York,2nd Circuit,"education, film, graphic, music, news reporting, photograph, research, scholarship, sculpture",
copyright infringement not found,0,1998,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, parody, research, scholarship",
copyright infringement found,0,1998,United States Court of Appeals for the Fourth Circuit,4th Circuit,"education, graphic, music, news reporting, research, scholarship, unpublished",
pending,0,1996,United States District Court for the Southern District of California,9th Circuit,"commentary, drawing, education, music, parody, satire",
copyright infringement not found,0,2003,United States Court of Appeals for the Third Circuit,3rd Circuit,"commentary, drawing, education, film, internet, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement not found,0,2008,United States District Court for the Southern District of New York,2nd Circuit,"commentary, education, film, graphic, music, news reporting, painting, photograph, research, scholarship, textual, unpublished",
copyright infringement found,0,1995,United States District Court for the District of Minnesota,8th Circuit,"commentary, education, music, news reporting, parody, research, scholarship",
copyright infringement not found,0,2012,United States District Court for the Southern District of New York,2nd Circuit,"computer program, digitization, film, graphic, music, research",
copyright infringement found,0,2012,United States Court of Appeals for the Federal Circuit,Federal Circuit,internet,
copyright infringement not found,0,2009,United States District Court for the Northern District of California,9th Circuit,"computer program, drawing, graphic",
copyright infringement found,0,2006,United States Court of Appeals for the Second Circuit,2nd Circuit,"commentary, education, film, graphic, music, news reporting, painting, parody, photograph, research, satire, scholarship, sculpture, textual, unpublished",
copyright infringement not found,0,2012,United States Court of Appeals for the Sixth Circuit,6th Circuit,"commentary, education, film, graphic, internet, music, news reporting, photograph, research, scholarship, unpublished",
copyright infringement not found,0,1983,Texas Courts of Appeals,5th Circuit,graphic,
fair use found,0,1959,United States District Court for the Southern District of California,9th Circuit,"graphic, research",
fair use not found,0,2013,United States District Court for the Northern District of Georgia,11th Circuit,"education, film, graphic, music, research, textual",
copyright infringement found,0,2011,United States Court of Appeals for the First Circuit,1st Circuit,"education, internet, music",
copyright infringement not found,0,2010,United States Court of Appeals for the Ninth Circuit,9th Circuit,"education, film, unpublished",
pending,0,1987,United States Court of Appeals for the Second Circuit,2nd Circuit,"graphic, research, scholarship, unpublished",
copyright infringement not found,0,2014,United States Court of Appeals for the Eleventh Circuit,11th Circuit,"education, internet, music, research, scholarship, textual",
copyright infringement not found,0,2002,United States Court of Appeals for the Seventh Circuit,7th Circuit,"commentary, education, film, graphic, music, news reporting, parody, photograph, research, scholarship, sculpture, textual",
copyright infringement found,0,2006,United States District Court for the Northern District of Iowa,8th Circuit,,
copyright infringement found,0,2012,United States District Court for the Central District of California,9th Circuit,"computer program, film, graphic, internet, photograph",
pending,0,2010,United States Court of Appeals for the Ninth Circuit,9th Circuit,"internet, photograph",
copyright infringement not found,0,1999,United States District Court for the District of Nevada,9th Circuit,"digitization, drawing, film, graphic, music, photograph, research",
copyright infringement not found,0,2013,United States District Court for the Northern District of California,9th Circuit,"education, film, graphic, internet, news reporting, photograph, research, scholarship, textual",
